mpn,id
RE46C317E8F,10568-1
SDP31-500PA-TR-1500PCS,10569-1
NPA-500B-02WD,10570-1
ADNB-3061,10571-1
KIT-103DX,10572-1
8252.G6.2530.01.19.34.40,10573-1
MAX6627MTA+T,10574-1
STARTERKIT9700-PRES-A,10575-1
ME-XU5-5EV-2I-D12E-R1.2,10576-1
2-5-00-690-150,10577-1
RE46C112E8F,10579-1
MNK2-9-CG-CPR-ATT,10580-1
AD8494ARMZ-R7,10581-1
MP3V5050VC6U,10582-1
MLX90641ESF-BCB-000-TU,10583-1
WVMP200,10584-1
XTR108EA/2K5,10585-1
XTR116U,10586-1
ADNB-6012,10587-1
XTR103AP,10589-1
PCT2075GVX,10590-1
DX80N9Q45THA,10591-1
MPXM2202A,10592-1
DS1859E-020/T&R,10593-1
AD22100ATZ,10594-1
ADNB-6001-EV,10595-1
WSK-900-0014,10596-1
TSIC 306 SOP-8,10597-1
SSCDRRN001PGAA5,10599-1
SR-KIT,106-1
MAX6697UP34+,1060-1
SDP816-125PA,10600-1
SOMOMAPL138-10-1503QHCR,10601-1
LM75CIMX-3,10602-1
LS6511N,10603-1
NBPLLNN015PAUNV,10604-1
TDC7201ZAXT,10605-1
CS-125SSS-A,10606-1
JN5169-001-M03-2,10607-1
AD7815ART-REEL7,10608-1
BU21079F-E2,1061-1
WB1-9-00-DCC1NNNN-0000-LR,10615-1
1 MBAR-D-4V,10616-1
MAX31820PARMCR+,10617-1
KIT-107E,10618-1
WSK-900-0001,1062-1
CE521 KIT,10622-1
ADNB-5032,1063-1
6711-KA-1X1-RI,1064-1
ADNB-2032,1065-1
WSK-900-0026,10655-1
H-864,10656-1
STARTERKIT91200-HVAC-A,10657-1
STARTERKIT91200-TANK-V,10659-1
KIT-INS2-CO-01,1066-1
STARTERKIT9700-TH-V,10660-1
ADNB-2031-RLK,10661-1
MNK2-9-CG-SMB-ROG,10665-1
MNK2-9-CG-MFT-ROG,10666-1
WSK-900-0010,10667-1
ADNB-2611-RLK,10668-1
MNK2-9-CG-HVC-ATT,10669-1
STARTERKIT91200-PRES-A,10671-1
M-EC-KIT-1.0,10672-1
KIT-102O,10675-1
Q112160,10677-1
MNK2-9-CG-RES-ROG,10679-1
AD7817ARUZ,1068-1
EC-KIT-10,10680-1
STARTERKIT9700-VIBE-A,10683-1
STARTERKIT91200-TANK-A,10684-1
TR-AK-EVO-MINI-4,10685-1
TLC-100-DIST,10686-1
WSK-900-0022,10687-1
0184-45903-1-009,1069-1
ZRO2-SYSTEM-485,10692-1
C3121,10693-1-s1
ZSSC3240CC6B,10699-1
MIC284-2BMM,107-1
ADNB-2031,107-2
19C030PG4K,1070-1
ME-XU7-6EG-1I-D11E-R4,10700-1
QT300-D,10701-1
TR-MFX,10706-1
ADNB-2612,10707-1
ADNB-6012-EV,10708-1
ADNB-2622,10709-1
WSK-900-0027,10720-1
Q112118,10721-1
ADNB-2050,10722-1
ADNB-5022,10723-1
KIT-INS2-H2S-03,10724-1
SMK-KIT,10725-1
OSK9-2TC,10726-1
STARTERKIT9700-PRES-V,10727-1
KIT-301,10728-1
KIT-201F,10729-1
OSK9-1TC,10734-1
KIT-INS2-CO-03,10735-1
H-832-4,10736-1
STARTERKIT91200-PRES-V,10737-1
STARTERKIT91200-TH-V,10740-1
CEA402 KIT,10746-1
54-76247,10747-1
ZRO2-SYSTEM-A25,1076-1
U3430,1076-10
NCV1124DR2G,1076-11
RE46C105S14F,1076-12
BND-WILOW-X-INC-2G-30B-EHR,1076-13
GLOB-S087A-L868EU,1076-14
MCXL-S055BC-I_1,1076-15
XPP100200S-02R,1076-16
RE46C180S16F,1076-17
ATSAMA5D27-SOM1,1076-18
WIFI-TH,1076-19
BS2PX24,1076-2
SOMOMAP3503-12-1783GFIR,1076-20
ME-SA1-C6-7I-D10-R3,1076-21
XP1001000M-05R,1076-22
RBS306-ATH-EXT-US,1076-23
MYC-CZU3EG-4E4D-1200-C,1076-24
TE0710-02-72I21-A,1076-25
ZSSC3240CC1B,1076-3
RE46C165E16F,1076-4
T7310,1076-5
TE0723-03-11C64-A,1076-6
XP1002000-05R,1076-7
MAXM86146CFU+,1076-8
EC-VA-MPEG2-8B-60-1080-OPVXC-0000,1076-9
ADNB-6002-EV,1077-1
DRV411AIPWP,108-1
2JCIE-BL01-P1,10801-1
RE46C104E14F,10802-1
MAX31888ALT+,10803-1
TR-MFX-PCB,10804-1
H-848,10805-1
MPXY8300A6U,10806-1
MYC-YA157C-V2-4E512D-65-C,10808-1
5525DSO-SB005GS,10810-1
MAX6635MSA+,10813-1
ABP2DSNT150PGAA5XX,10814-1
HSCMAND150PA4A3,10818-1
ADNB-3062-TLK,10820-1
LM82CIMQA/NOPB,10824-1
KPY57-RK,10825-1
26PC05SMT,10827-1
HDC2022DEPR,10829-1
MNK2-9-CG-MRF-ROG,1083-1
SSCDRNT1.6BAAA3,10830-1
CC-MX-PF47-ZM,10831-1
RE46C168S16F,10847-1
MAX31855JASA+,10849-1
XTR115U,10852-1
BPS120-AG01P0-2DG,1088-1
ASM000018,10888
MAX31850EATB+,1089-1
QS3VH257S1G8,10907
MCP3905L-E/SS,10908pr0001
LT1016CDR,10909
7T.51.0.230.4360,1094-1
UNO-7HW,1095-1
RE46C141SW16F,1096-1
SCM-20260E-B,1097-1
20-101-0405,1098-1
SDP800-500PA,1099-1
DC-VA-H264-10B-60-4K-MD00C-SX660,11-2
TDC7200PWR,11-3
ADNB-3082-TLK,110-1
GWB10008,1100-1
MAX31850JATB+T,1101-1
MAX31850JATB+,1102-1
TPIC8101DW,1103-1
101-0446,1104-1
5748-PJ-4AA-RI,1105-1
MCP39F521T-E/MQ,11055
CD74HC85MT,11055pr0011
SGW8130B,1106-1
LTK001ACN8#PBF,1107-1
SOMOMAPL138-10-1603QHIR,1108-1
5CSE-L2-3Y8-RC,1109-1
FAGD1636048BA,11096
MNK2-9-EG-ITS,111-1
KIT-104O,111-2
T3417,1110-1
2DC-VA-H264-10B-30-4K-MD00C-SX660,1111-1
ME-ZX1-35-1I-D10-R3,1112-1
RE46C119S16TF,1113-1
VLM-520-58 LPO-D20-F40,11133
SN74LVC138AD,11133pb01
EZ80F915005MODG,1114-1
MAX6691MUB+,1115-1
XP100200S-05R,1116-1
SI5338D-B-GM,11169
82V3001APVG,11170
MTCH112T-I/MF,1118-1
XTR116UA/2K5,1119-1
SI5338L-B-GMR,11197
CD74AC238M96,11198
H-832-2,112-1
114090021,112-2
5962-9162304MXC,1120-1
101-0507,1121-1
TL393ID,11211
SN65LVCP22PW,11213
CD74HC85PWT,11215
RE46C167S16TF,1122-1
RE46C104S14TF,1123-1
5CSX-H5-4YA-RI,1124-1
SN74LVC1G19DBVT,11248c01
CY7C429-65AC,11249
20-101-0518,1125-1
T0213D,1126-1
ADE7566ASTZF16,11267
DS1624+,1127-1
0136-45803-1-042,1128-1
90E22PYGI,11289
20-101-1138,1129-1
HSCDANN060PGSA3,1129-2
9DB833AGILF,11290
72T18125L5BBI,11291
MA-ZX3-20-2I-D10-R7,1130-1
SN74LS148D,11303
TE0741-03-410-2CF,1131-1
RIHF-S185A-L915US,1132-1
XTR105P,1133-1
ASM000002,11335
STB-TCI,1134-1
ADE7854ACPZ-RL,11344
ASM000516,11344pb01
CD74HC280MT,11344pr0007
CD74HCT85E,11345
MYC-Y7Z010-4E512D-667-I,1135-1
TE0715-05-71C33-A,1135-2
PGA900ARHHT,1135-3
RE46C180S16TF,1136-1
114992870,1137-1
SN74LS688N,11371
9FG108EGLF,11371pb01
74AC11521DW,11374pb01
T7311,1138-1
78M6610+PSU/B00,11385
74HC40105PW/S911118,11385pb01
MAX31855TASA+T,1139-1
ADM1294-1BACPZ-RL7,11399
ADNB-3082-TLP,114-2
SOLUTIONSKIT9-TH,1140-1
SN74CB3T16210DGGR,11407pr0001c01
5V41066PGGI,11408pr0005c01
MAX22195ATJ+,1141-1
ME-XU5-2EG-1I-D11E-R1.2,1142-1
AD693AQ,1143-1
MAX1452ATG+,1144-1
RE46C108E8F,1145-1
SN74ACT7203L50RJR,11458
D3120,1146-1
HDC2021DEBT,1147-1
SN74ACT7205L25NP,11476
QS7201-10Q,11477
M53-7BD1CI,1148-1
24PCAFA6D,1149-1
TE0745-02-72I31-A,1149-2
1759-1048-KIT,115-1
ADNB-2622-TLP,115-2
113990756,1150-1
3352-HX-X27-RC,1151-1
RE46C168E16F,1152-1
AD694AQ,1154-1
PT8A2641WEX,1160-1
82P33814ANLG,11602pr0001b
MM74HC688MTC,11609
AD8495ARMZ-R7,1161-1
SI5324C-C-GM,11610
74AHC157PW-Q100118,11618
MTCH652-I/MV,1162-1
MYC-Y6ULY2-V2-4E512D-50-I,1163-1
AK9723AD,1164-1
AT42QT5480-CU,1168-1
MAX9926UAEE/V+,1169-1
ADNB-2051-TLP,117-1
TE0710-02-100-2CF,1170-1
EM01B PRO,1171-1
BDL.WS.S2,1172-1
XTR111AIDGQRG4,1174-1
MC145012ED,1175-1
S5-E100D40,1176-1
TPIS 1S 1385 / 5029,1177-1
71M6603-IL/F,1177stk01
H4531R,1178-1
MAX6575LZUT,1179-1
ADNB-3062,118-1
ADNB-6002,118-2
AD7314ARMZ-REEL7,1180-1
LM34DM/NOPB,1181-1
STPM12ATR,11816pr0001
SI53106-A01AGM,11816pr0002
SI52112-B3-GM2,11816pr0003
LM393APWLE,11816pr0006
PEF2035NV4.1-ACFA,11816pr0013
AD71056ARZ,11816pr0017
VLM-650-27 LPT-30,11818pr0004
WB1-9-10-A5A5NNNN-0000-LR,1182-1
SGW8130A,1183-1
SN74ACT7205L50NP,11835
SY100E160JZ,11836
D6F-PH0505AMD4,1184-1
IPT0020A33R,1185-1
ADE7759ARSZ,11854
MAX6625RMTT+T,1186-1
KP212K1409XTMA1,1187-1
26PCCFH6G,1188-1
NBPLLNN060PGUNV,1189-1
ADNB-2031-RLP,1190-1
KIT-303,11905-1
KIT-INS2-H2S-02,11908-1
WSK-900-0020,11909-1
DS1822+PAR,1191-1
1010066,11910-1
1428-1156-KIT,11912-1
MC74F258AD,11929
VLM-635-58 LPO-D15-F90,11939
9DB108BGLF,11940
LM25056APSQE/NOPB,11942
4525-DS5A001DP,1195-1
TS8000,1196-1
SN74CBT3306DR,1196stk01
0166.01102.020401,1197-1
MAX7360ETL+T,1197-2
ADE7166ASTZF8,11970
TR-AK-EVO-MINI-8,1198-1
KIT-105O,1199-1
MAX14626ETT+T,12-1
XTR110KU,12-3
ADNB-5021,120-1
20-101-1131,1200-1
UNO-6SR,1200-2
IQS269AD0CSR,1200M-1
MAX1452AAE+T,1202-1
71M6542G-IGT/F,12023
U4440M,1203-1
LS6525-S,1204-1
668-1573-KIT,120438-1
AD8497CRMZ,1205-1
CY2310ANZPVC-1,12053
SN74LVC139APW,12054
SN74AS866ADW,12057
SN74F157AD,12058
TE0803-04-4DE11-A,1206-1
SN74LS684N,12061
SNJ54F280BJ,12062
MAX9966BGCCQ,12067
TPL9202PWPR,1207-1
WB1-9-00-DCC4TRNN-0000-LR,1208-1
2EC-VA-H264-10B-30-1080-MD00C-A200T,1209-1
EMC1812T-2E/RW,121-1
H3021,1210-1
ADPD4000BCBZR7,1210-2
S4-E2000D40,1211-1
D3633,1211-2
RE46C108S8TF,1212-1
LM75BIMX-3,1212-2
MYC-C7Z010-4E1D-667-I,1213-1
DS75LVU+,1213-2
D3631,1214-1
LM20CIM7,1214-2
74HC153D,12146
20-101-1093,1215-1
NTM88H135T1,1215-2
DLP-TH1C,1216-1
RE46C144SW16TF,1216-2
325212001-00,1217-1
LMT87DCKT,1217-2
2EC-VA-H265-10B-30-4K-MD00C-SX660,1218-1
ADNB-2032-TLK,1218-2
LM335M/NOPB,1219-1
PT8A2647PE,1219-2
DLP-245PL-G,122-1
ABPDANN005PG2A3,1220-1
MNK2-9-CG-HVC-ROG,1220-2
TE0600-03-52I11-A,1221-1
CEA 403 KIT,1221-2
ZSSC3240CI1B,1222-1
ADNB-3081-RLP,1222-2
T3117,1223-1
ESTDW50AM,1223-2
MNK2-9-CG-CPR-ROG,1223-3
20-101-0434,1224-1
1WIRE-THS,1224-2
ZSSC3240CI2B,1224.1-1
MAX7360ETL+,1224A-1
MOD-ORP,1225-1
ESTDD50AM,1225-2
AD693AE,1226-1
TE0813-01-2AE11-A,1226-2
MAX31915AUI+,1227-1
XTR104BU,1227-2
DX80N9Q45VTP,1228-1
MYC-C7Z020-4E1D-766-I,1228-2
MA-ZX2-10-2I-D9-R2,1229-1
ASM000810,122c01
MNK2-9-CG-RES-ATT,123-1
DC-ME-Y402-LX-JT,1230-1
T3118,1230-2
5728-PJ-4AA-RI,1231-1
ESAVTD20AM,1231-2
DRV401AIRGWR,1231-3
D6T8L06,1232-1
ME-XU8-7EV-2I-D12E-R2.1,1233-1
EC-VA-H264-10B-60-4K-OPVIC-0000,1233-2
19C200PG4K,1234-1
ZSSC3230BI1B,1234-3
MCV-X2DB_1,1235-1
20-101-1329,1235-2
20-101-1196,1236-1
ADNB-2611-RLP,1236-2
ADIS16300AMLZ,1236-3
MNK2-9-CG-ITS-ROG,1237-1
ISM303DACTR,1239-1
TE0745-02-91C31-A,1239-2
ADNB-6032-EV,124-1
MCV-X6DB_1,1240-1
GE-2098,1240-2
RE46C144S16TF,1241-1
DG8065101418900,1241-2
BU21170MUV-E2,1242-1
20-101-1195,1242-2
TE0711-01-100-2I,1242D-1
RE46C105E14F,1243-1
TDC1000PW,1244-1
RE46C143SW16F,1245-1
ESAVTD20ADM,1245-2
RE46C144S16F,1246-1
LM84BIMQA,1247-1
CM.S2.V1,1247-2
13A-015G,1248-1
RBS305-ATH-US,1248-2
SOMIMX8MNS-10-29C0DMCR,1249-1
TMP75CQDRQ1,125-1
STARTERKIT91200-CM-V,125-2
SSCDANN010NG2A3,1250-1
MLX90614ESF-DCA-000-TU,1251-1
CE121 KIT,1252-1
MNK2-9-CG-SMB-ATT,1253-1
54F521LMQB,12531
EC-KIT-0.1,1254-1
H-832-3,1255-1
CEA205 KIT,1256-1
ASM002712,1256stk01
LM70CIMM-3/NOPB,1257-1
KP108-PS,1258-1
TMP17FSZ,1259-1
CA0339E,12592
WSK-900-0005,126-1
MIPAN1XX100PSAAX,1260-1
MAX9921AUB/V+T,1260-2
CD4066BNS,12600c01
71M6541G-IGT/F,12602
"74HC688PW,118",12607ass01pr01
90E21PYGI,12610pr0001
ADN2818ACPZ,12622
LM32CIMTX,1263-1
TE0715-05-71I33-A,1264-1
TE0807-03-4AI21-A,1265-1
SL-660-S-A-RPP016ES,12651
SN74F521DWR,12659
LM77CIM-3-TI,1266-1
SOLUTIONSKIT9-TANK,1267-1
30 INCH-D-MV,1268-1
LM32CIMTX/NOPB,1269-1
NB6L72MNG,12693
SN74ALS137AN,12694
71M6521DE-IM/F,12695
5749-PM-4AA-RI,1270-2
SDP610-500PA,1271-1
ZSSC3240CC5B,1271-2
ESTC2WV,1272-1
EMC1833T-2E/RW,1273-1
8473.H1.5630.02.19.61.T2.01,1274-1
54180DM,12744
ADXC1500AWBRGZ-RL,1275-1
9ZXL1252EKILF,12758
PTE7100-22DC-0B050BN,1276-1
LM77CIM-5/NOPB,1277-1
ADP5111,1278-1
SN32283N,12785pr0002
LM135AH,1279-1
43A-015A,128-1
MPXV7007GC6U,128-2
DS1620S-001/TR,128-3
D6T-1A-01,1280-1
MAX31856MUD+T,1281-1
S-8120CPF-DRB-TF-U,1282-1
"74HC139D,653",12825
MC1066DBR2,1283-1
BPS130-HA100P-1MG,1284-1
NSCSHHN030PDUNV,1285-1
NPA-300B-05WD,1286-1
WB1-9-00-TRNNNNNN-0000-LR,1287-1
EMC1823T-2E/9R,1288-1
MC74F280D,12888pr0001
NPP-301A-100A,1289-1
ADE7156ASTZF16-RL,128stk01
DFB-1310C-PM-150,128stk02
MAX6677AUT3,1290-1
LM35AH/NOPB,1291-1
COMT-S040A-L868EU,1292-1
101-0698,1293-1
CS5463-IS,12938
ADM1032ARZ-1,1294-1
116CP31-M10S3-50,1295-1
AD7416ARMZ,1296-1
MAX6577ZUT+T,1297-1
OSD3358-512M-ISM,1298-10
3354-HX-X38-RI,1298-11
ADM1022ARQ-REEL,1298-12
ESTC5WVM,1298-13
ZSSC3240CC2B,1298-14
TE0808-04-BBE21-A,1298-15
S3-E2000D40,1298-16
XPDNC200S-01,1298-17
ME-AA1-480-2I3-D12E-R2,1298-18
RE46C140S16F,1298-19
M53-7BD1CI_1,1298-2
AD694BRZ-REEL,1298-20
20011529-00,1298-21
RE46C190S16TF,1298-22
T8148,1298-23
PT8A2648WEX,1298-24
ISL29501IRZ-T7A,1298-25
TE0807-03-7DI21-A,1298-3
101-0404,1298-4
M100PF-3AC,13-2
KPY53-AK,130-1
NPA-730B-10WD,1300-1
SN74LVC138ARSVR,13039
26PCFFM6G,1306-1
CEA 403/BK KIT,1307-1
1810-DX-225-RC,1308-1
MNK2-9-EG-CRF,1309-1
TE0823-01-3PIU1ML,131-1
ADNB-3062-TLP,1310-1
CY7C462A-25PTC,13124
90E22PYGI8,13128
SI53019-A02AGM,13131
CY7C4221V-15JC,13132
CDCU877ANMKR,13133
9DBL0841BKILFT,13135
8S58021AKILF,13136
24PCBFA6D,1314-1
SL298TR-A,1315-1
SOMOMAP3530-21-1780AGIR,1316-1
CY7C433-65JI,13161
CD74ACT280E,13164
ADE5569ASTZF62,13165
SN74ALS258AN,13168
QS72221-50JR,13170
CY7C4211-15JC,13172
A10S-P8-X5E-RC-SA,1318-1
6711-AB-3X3-RC,1319-1
T3413,132-1
ADNB-3042-TLP,132-2
PTE7100-23DC-0E050BN,1320-1
BU21072MUV-E2,1321-1
WB1-9-00-DCTRTRNN-0000-LR,1322-1
FDC2112QDNTTQ1,1323-1
M12FTH3Q,1324-1
8741004AGLF,13246
VLM-520-57 LPO-D10-F20,13247
MTCH650-I/MV,1325-1
SN74ALS233BN,13255
ADE7166ASTZF16-RL,13258
MAX3806GTC+,1326-1
SSCDRRN005ND2A5,1327-1
HSCDRRN002NDAA3,1328-1
4703BDM,13288
SN74HC253N,13289
100-1218-1,1329-1
CY74FCT480BTQCT,132a
ADNB-6032,133-1
MAX31855KASA+T,1330-1
RE46C144E16F,1331-1
RE46C165S16F,1333-1
SN74HC688PWR,13336pr0001
CD74HC688M96,13341
ADE7878ACPZ,13355
QS72241-15JR,13358
MAX31911AUI+,1338-1
MAX6629MUT-T,1339-1
ADE5169ASTZF62,13392pr0001
G3JB004,134-1
ADNB-7051-EV,134-2
LA6393D-E,13415
ADNB-3061-RLK,1345-1
0166.00202.020401,1347-1
KIT-203F,1351-1
WSK-900-0007,1352-1
71M6534-IGT/F,13523
9DBL411BGILFT,13525
71M6511H-IGTR/F,13527
KIT-105DX,1353-1
9FGV0641AKLF,13530
SN74S280NSRE4,13531pr0001
PLT5 522EA_Q,13531pr0002
CY74FCT480BTQCTE4,13532
SN74CBT3125D,13533
78M6613-IM/F/PW6,13535
SI5324D-C-GM,13538
MD3-KIT,1354-1
KIT-103P,1355-1
DS1631+,1356-1
AD7417BRZ,1357-1
CY7C460A-15JC,13583
ASM000514,13584
PI6LC48P0301LIE,13585
CD74AC280M96,13586
S2-D40D200,136-1
UNO-7TR,1360-1
FST3125MTCX,13607
67C4023-10N,13608
CY28346OC,13609
FPS-SMS101501,1361-1
SSCSNBN005NDAA5,1362-1
4515-DS5A002DP,1363-1
27901,137-1
MNK2-9-CG-AGM-ROG,137-2
2-5-00-690-151,1370-1
"74HCT139DB,112",13703
STARTERKIT91200-HVAC-V,1371-1
QS3251XQ,13722
71M6532F-IGT/F,13739
ADNB-2621-RLK,1374-1
OSK9-4TC,1376-1
COM8136T-027CD,13770
PI4MSD5V9540BUEX,13777
71M6543GT-IGT/F,13780
ASM000019,13781
MM74HC251MTCX,13786pr0001
MXL1116CN8,13786pr0002
7200L12SOG,13795pr0002
CA0339F,13799
KIT-204F,138-1
STARTERKIT91200-TH-A,1380-1
CD74HCT688M96,13801
CS5464-IS,13802
SN74ALS688DW,13804
STARTERKIT91200-VIBE-A,1381-1
SN74CB3T3257PW,1381cdb01
TXS ENG KIT 02,1383-1
ASM000619,13832
D6355I,13858
74F521SJ,13862
SN74LVC157AD,13869
SN74CBTD3384CDGVR,13879
SN74CBTLV3253PW,13880
9DBV0741AKILF,13884
SI52112-B6-GTR,13969
CD4585BD,13970
74LS139PC,13973
CY7C421-15AC,13975
SI52112-B3-GT,13976
SI52138-A16AGM,14
NPP-301B-700AT,14-1
CE421 SWT MAG KIT,140-1
ADNB-2612-TLP,140-2
